1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,IsRenovated,IsOld,House_Age_Group
1364,0.0,2.0,3,484,2,2005.0,1364,3,240.0,36,5,7,1364,2005,2005,185850,0,False,New
1459,0.0,3.0,0,527,2,2002.0,1459,3,100.0,39,5,7,1459,2002,2002,192000,0,False,New
1601,0.0,3.0,0,478,2,1978.0,1601,2,206.0,0,5,7,1271,1978,1978,157000,0,False,Old
1442,0.0,3.0,2,719,3,1990.0,1442,3,0.0,244,5,7,910,1990,1991,179900,1,False,Old
1552,0.0,3.0,3,782,1,2005.0,1552,3,196.0,20,5,7,1552,2005,2006,212900,1,False,New
812,670.0,3.0,0,392,3,1992.0,1482,3,170.0,25,5,7,384,1992,1992,163900,0,False,Old
1555,0.0,2.0,0,660,3,2007.0,1555,3,130.0,20,5,7,1373,2007,2007,174000,0,False,New
1530,0.0,3.0,3,630,3,2004.0,1530,3,0.0,36,5,7,1530,2004,2004,259000,0,False,New
860,704.0,3.0,0,234,1,1941.0,1564,1,0.0,0,7,7,704,1941,1950,174500,1,True,Old
832,650.0,3.0,0,324,1,1930.0,1482,2,0.0,0,9,7,650,1920,1988,143000,1,True,Old
1502,0.0,3.0,0,644,2,2009.0,1502,3,268.0,114,5,7,1502,2009,2009,233170,0,False,New
1630,0.0,3.0,0,451,1,2000.0,1630,3,171.0,234,5,7,1630,2000,2001,213000,1,False,New
788,702.0,3.0,3,388,3,2004.0,1490,3,0.0,75,5,7,788,2004,2005,184000,1,False,New
764,862.0,2.0,0,474,2,2003.0,1626,3,106.0,27,5,7,764,2003,2003,175500,0,False,New
756,797.0,3.0,0,615,2,2005.0,1553,3,0.0,45,5,7,756,2005,2006,186500,1,False,New
1405,0.0,2.0,0,478,2,2003.0,1405,3,163.0,36,5,7,1405,2003,2003,171750,0,False,New
713,739.0,3.0,0,506,1,1999.0,1452,3,218.0,34,5,7,691,1999,1999,183900,0,False,Old
1332,192.0,0.0,1,586,3,1979.0,1524,3,0.0,0,6,7,1332,1979,1979,260000,0,False,Old
1573,0.0,3.0,0,544,2,2002.0,1573,3,110.0,72,5,7,1573,2002,2002,227000,0,False,New
1616,0.0,3.0,3,834,2,2005.0,1616,3,228.0,59,5,7,1616,2005,2005,232000,0,False,New
1368,0.0,2.0,0,474,2,2005.0,1368,3,94.0,35,5,7,1368,2005,2006,202500,1,False,New
1352,0.0,2.0,0,466,1,2006.0,1352,3,0.0,241,5,7,1352,2006,2007,208900,1,False,New
955,0.0,3.0,0,462,3,1998.0,1632,2,0.0,28,5,7,935,1998,1998,176500,0,False,Old
728,728.0,3.0,0,440,3,2006.0,1456,3,0.0,0,5,7,728,2006,2006,155835,0,False,New
1494,0.0,3.0,1,514,2,1998.0,1494,3,0.0,25,5,7,1482,1998,1998,215000,0,False,Old
1530,0.0,3.0,3,430,3,2005.0,1530,3,16.0,36,5,7,1530,2005,2005,260000,0,False,New
1525,0.0,3.0,3,541,2,2000.0,1525,3,244.0,36,5,7,1525,2000,2000,235000,0,False,New
1500,0.0,3.0,3,648,3,2006.0,1500,3,45.0,20,5,7,1356,2006,2006,246578,0,False,New
1569,0.0,1.0,0,660,1,2007.0,1569,3,130.0,20,5,7,1386,2007,2007,175900,0,False,New
1422,0.0,3.0,3,626,2,2004.0,1422,3,106.0,60,5,7,1422,2004,2004,179600,0,False,New
